2223,79756,10,38003
26179,6088,14,38003
71042,32486,13,38003
39097,21767,14,38003
37576,59793,13,60600
22993,52268,13,18840
38393,2055,15,18840
69566,71713,21,38003
18500,71535,20,38003
25027,18809,12,18840
40702,182,9,81004
19547,9362,10,18840
50410,6328,8,53619
70453,196,14,18840
18644,42635,15,18840
15292,11385,17,38003
65384,6697,10,60216
4660,1177,17,38003
12288,32136,12,38003
80288,67344,20,38003
71130,77143,13,38003
2529,70942,13,38003
14823,9879,12,60600
78809,76732,11,60600
50832,50691,14,60600
51470,23494,11,38003
43348,63630,12,81004
21497,13049,20,38003
41756,1224,14,60600
47294,13994,16,38003
30223,71548,11,38003
16231,36832,14,38003
34913,38793,11,18840
28153,79983,9,60600
29126,51483,18,38003
50711,19458,15,18840
12165,75093,12,38003
77813,77764,16,38003
2903,56542,13,38003
8389,48587,14,60600
14639,53333,14,18840
46781,16642,15,38003
57411,20898,19,38003
67258,16562,15,57333
39273,30010,17,38003
70510,39884,17,63581
81965,33358,17,38003
20596,20501,21,38003
39406,60833,19,38003
42436,5038,19,38003
21049,63316,10,38003
12242,35263,14,60600
47372,48752,10,60600
69649,720,13,38003
76157,31856,23,18840
1701,80836,10,38003
26067,26696,12,81004
74710,48338,16,60600
11378,51429,13,81004
22305,8049,15,18840
36692,45555,14,38003
74456,4655,13,21745
45379,15989,14,60600
49641,25502,17,18840
48307,10916,8,60216
62332,48476,9,60600
41004,10327,12,38003
38789,70813,15,38003
50245,38284,15,60600
57514,79383,13,38003
19212,6768,9,38003
21151,33786,20,38003
28770,72576,12,60600
61421,5098,14,18840
55059,74557,17,81004
72401,52938,9,41005
36931,65222,12,63581
66064,44663,23,38003
28532,33028,6,19200
74136,11838,14,38003
59748,18551,17,38003
62850,22187,9,60600
49667,8792,18,38003
68084,74511,5,60216
43315,39403,12,38003
36963,8781,19,38003
1272,79476,14,18840
52053,40065,10,38003
56575,3106,12,38003
71396,71133,18,81004
42954,63020,10,44437
63967,64658,18,81004
41625,42391,9,21745
72442,57223,13,38003
31797,52833,11,18840
64118,75273,11,58166
43221,37309,17,60600
7628,69839,11,38003
61908,18715,12,18840
61826,17257,14,81004
